Product_ID,Snapshot_Date,Brand,Product_Name,SKU,Category,Subcategory,Collection,Original_Price,Sale_Price,Discount_Amount,Discount_Percent,Sale_Status,Price_Segment,Discount_Band,Category_Median_Price,Price_Index,Availability,Currency,Price_Competitiveness_Score,Discount_Strategy_Score,Product_Variety_Score,Availability_Score,Brand_Intelligence_Score,Scrape_Date
J-001,31/08/2026,J.,Choco Vanille,PU300268-DFT-100ML-REG,Unstitched,Other,Women Unstitched,6900,6900,0,0,Regular Price,Budget,No Discount,6900,100,Available,PKR,100,1.14,60,100,65.28,31/08/2026
J-002,31/08/2026,J.,Galaxy Grape,PU300267-DFT-100ML-REG,Unstitched,Other,Women Unstitched,6900,6900,0,0,Regular Price,Budget,No Discount,6900,100,Available,PKR,100,1.14,60,100,65.28,31/08/2026
J-003,31/08/2026,J.,Matcha Matcha,PU300266-DFT-100ML-REG,Unstitched,Other,Women Unstitched,6900,6900,0,0,Regular Price,Budget,No Discount,6900,100,Available,PKR,100,1.14,60,100,65.28,31/08/2026
J-004,31/08/2026,J.,Pink Sugar,PU300265-DFT-100ML-REG,Unstitched,Other,Women Unstitched,6900,6900,0,0,Regular Price,Budget,No Discount,6900,100,Available,PKR,100,1.14,60,100,65.28,31/08/2026
J-005,31/08/2026,J.,ENIGMA NOIR,PL300018-DFT-100ML-REG,Unstitched,Other,Women Unstitched,4500,4500,0,0,Regular Price,Budget,No Discount,6900,65.22,Available,PKR,100,1.14,60,100,65.28,31/08/2026
J-006,31/08/2026,J.,ZARAR METALLIC,PM300185-DFT-100ML-REG,Unstitched,Other,Women Unstitched,5500,5500,0,0,Regular Price,Budget,No Discount,6900,79.71,Available,PKR,100,1.14,60,100,65.28,31/08/2026
J-007,31/08/2026,J.,ZARAR SHADOW,PM300184-DFT-100ML-REG,Unstitched,Other,Women Unstitched,5500,5500,0,0,Regular Price,Budget,No Discount,6900,79.71,Available,PKR,100,1.14,60,100,65.28,31/08/2026
J-008,31/08/2026,J.,JANAN ZIRCON,PL300167-DFT-100ML-REG,Unstitched,Other,Women Unstitched,5900,5900,0,0,Regular Price,Budget,No Discount,6900,85.51,Available,PKR,100,1.14,60,100,65.28,31/08/2026
J-009,31/08/2026,J.,JANAN PEARL,PL300162-DFT-100ML-REG,Unstitched,Other,Women Unstitched,5900,5900,0,0,Regular Price,Budget,No Discount,6900,85.51,Available,PKR,100,1.14,60,100,65.28,31/08/2026
J-010,31/08/2026,J.,JANAN ONYX,PL300160-DFT-100ML-REG,Unstitched,Other,Women Unstitched,5900,5900,0,0,Regular Price,Budget,No Discount,6900,85.51,Available,PKR,100,1.14,60,100,65.28,31/08/2026
J-011,31/08/2026,J.,Teal Embroidered Cambric Unstitched 2Pc,JST262487U-GREEN-2PS-REG,Unstitched,2 Piece,Women Unstitched,4990,4990,0,0,Regular Price,Budget,No Discount,6900,72.32,Available,PKR,100,1.14,60,100,65.28,31/08/2026
J-012,31/08/2026,J.,Red Embroidered Cambric Unstitched 2Pc,JST262486U-RED-2PS-REG,Unstitched,2 Piece,Women Unstitched,4990,4990,0,0,Regular Price,Budget,No Discount,6900,72.32,Available,PKR,100,1.14,60,100,65.28,31/08/2026
J-013,31/08/2026,J.,Blue Embroidered Cambric Unstitched 2Pc,JST262485U-BLUE-2PS-REG,Unstitched,2 Piece,Women Unstitched,4990,4990,0,0,Regular Price,Budget,No Discount,6900,72.32,Available,PKR,100,1.14,60,100,65.28,31/08/2026
J-014,31/08/2026,J.,Off White Embroidered Cambric Unstitched 2Pc,JST262484U-WHITE-2PS-REG,Unstitched,2 Piece,Women Unstitched,4990,4990,0,0,Regular Price,Budget,No Discount,6900,72.32,Available,PKR,100,1.14,60,100,65.28,31/08/2026
J-015,31/08/2026,J.,Black Embroidered Dobby Unstitched 3Pc,JLU264617U-BLACK-3PS-REG,Unstitched,3 Piece,Women Unstitched,6990,6990,0,0,Regular Price,Budget,No Discount,6900,101.3,Available,PKR,100,1.14,60,100,65.28,31/08/2026
J-016,31/08/2026,J.,Brown Embroidered Dobby Unstitched 3Pc,JLU264616U-BROWN-3PS-REG,Unstitched,3 Piece,Women Unstitched,6990,6990,0,0,Regular Price,Budget,No Discount,6900,101.3,Available,PKR,100,1.14,60,100,65.28,31/08/2026
J-017,31/08/2026,J.,Beige Embroidered Dobby Unstitched 3Pc,JLU264615U-BROWN-3PS-REG,Unstitched,3 Piece,Women Unstitched,6990,6990,0,0,Regular Price,Budget,No Discount,6900,101.3,Available,PKR,100,1.14,60,100,65.28,31/08/2026
J-018,31/08/2026,J.,White Embroidered Dobby Unstitched 3Pc,JLU264614U-WHITE-3PS-REG,Unstitched,3 Piece,Women Unstitched,6990,6990,0,0,Regular Price,Budget,No Discount,6900,101.3,Available,PKR,100,1.14,60,100,65.28,31/08/2026
J-019,31/08/2026,J.,Blue Embroidered Cambric Unstitched 3Pc,JLU264613U-BLUE-3PS-REG,Unstitched,3 Piece,Women Unstitched,5990,5990,0,0,Regular Price,Budget,No Discount,6900,86.81,Available,PKR,100,1.14,60,100,65.28,31/08/2026
J-020,31/08/2026,J.,Purple Embroidered Cambric Unstitched 3Pc,JLU264612U-PURPLE-3PS-REG,Unstitched,3 Piece,Women Unstitched,5990,5990,0,0,Regular Price,Budget,No Discount,6900,86.81,Available,PKR,100,1.14,60,100,65.28,31/08/2026
J-021,31/08/2026,J.,Red Embroidered Cambric Unstitched 3Pc,JLU264611U-RED-3PS-REG,Unstitched,3 Piece,Women Unstitched,5990,5990,0,0,Regular Price,Budget,No Discount,6900,86.81,Available,PKR,100,1.14,60,100,65.28,31/08/2026
J-022,31/08/2026,J.,Green Embroidered Cambric Unstitched 3Pc,JLU264610U-GREEN-3PS-REG,Unstitched,3 Piece,Women Unstitched,5990,5990,0,0,Regular Price,Budget,No Discount,6900,86.81,Available,PKR,100,1.14,60,100,65.28,31/08/2026
J-023,31/08/2026,J.,Purple Embroidered Liminal Unstitched 3Pc,JLU264323U-PURPLE-3PS-REG,Unstitched,3 Piece,Women Unstitched,7490,7490,0,0,Regular Price,Budget,No Discount,6900,108.55,Available,PKR,100,1.14,60,100,65.28,31/08/2026
J-024,31/08/2026,J.,Green Embroidered Liminal Unstitched 3Pc,JLU264322U-GREEN-3PS-REG,Unstitched,3 Piece,Women Unstitched,7490,7490,0,0,Regular Price,Budget,No Discount,6900,108.55,Available,PKR,100,1.14,60,100,65.28,31/08/2026
J-025,31/08/2026,J.,Pink Embroidered Liminal Unstitched 3Pc,JLU264321U-PINK-3PS-REG,Unstitched,3 Piece,Women Unstitched,7490,7490,0,0,Regular Price,Budget,No Discount,6900,108.55,Available,PKR,100,1.14,60,100,65.28,31/08/2026
J-026,31/08/2026,J.,Pink Embroidered Liminal Unstitched 3Pc,JLU264320U-PINK-3PS-REG,Unstitched,3 Piece,Women Unstitched,6990,6990,0,0,Regular Price,Budget,No Discount,6900,101.3,Available,PKR,100,1.14,60,100,65.28,31/08/2026
J-027,31/08/2026,J.,Blue Embroidered Liminal Unstitched 3Pc,JLU264319U-BLUE-3PS-REG,Unstitched,3 Piece,Women Unstitched,6990,6990,0,0,Regular Price,Budget,No Discount,6900,101.3,Available,PKR,100,1.14,60,100,65.28,31/08/2026
